data_size,operation,method,time_sec
10000,rolling_mean,pandas,0.0007572174072265625
10000,rolling_mean,numpy,0.0003943443298339844
10000,rolling_mean,numba,0.1892251968383789
100000,rolling_mean,pandas,0.0038852691650390625
100000,rolling_mean,numpy,0.003765583038330078
100000,rolling_mean,numba,0.0001952648162841797
1000000,rolling_mean,pandas,0.051808834075927734
1000000,rolling_mean,numpy,0.04742836952209473
1000000,rolling_mean,numba,0.0041730403900146484
5000000,rolling_mean,pandas,0.24221420288085938
5000000,rolling_mean,numpy,0.1925644874572754
5000000,rolling_mean,numba,0.01807689666748047
